company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
"Crosby Hop Farm, LLC",2019,Changemaker,Agriculture,Agricultural Services,United States,Oregon,Certified,https://bcorporation.net/directory/crosby-hop-farm-llc
Paul de Ruiter Architects,2019,Changemaker,Building,Architecture/Design/Planning,Netherlands,Noord-Holland,Certified,https://bcorporation.net/directory/paul-de-ruiter-architects
Cultivating Capital,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/cultivating-capital
Seed Consulting Services Pty Ltd,2019,Changemaker,Business Products & Services,Sustainability Consulting,Australia,South Australia,Certified,https://bcorporation.net/directory/seed-consulting-services-pty-ltd
Business Culture Consultants,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,Vermont,Certified,https://bcorporation.net/directory/business-culture-consultants
Roundpeg Benefit LLC,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Maryland,Certified,https://bcorporation.net/directory/roundpeg-benefit-llc
Pegas con Sentido,2019,Changemaker,Business Products & Services,HR Consulting & Recruiting,Chile,Santiago,Certified,https://bcorporation.net/directory/pegas-con-sentido
PICnet,2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,District of Columbia,Certified,https://bcorporation.net/directory/picnet-inc
Beyond Green Sustainable Food Partners,2019,Changemaker,Business Products & Services,Sustainability Consulting,United States,Illinois,Certified,https://bcorporation.net/directory/beyond-green-sustainable-food-partners
Needo,2019,Changemaker,Business Products & Services,Sustainability Consulting,Chile,Santiago,Certified,https://bcorporation.net/directory/needo
Good.Must.Grow. LLC,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Tennessee,Certified,https://bcorporation.net/directory/goodmustgrow-llc
Conexia,2019,Changemaker,Business Products & Services,Other,Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/conexia
KOGA S.A.,2019,Changemaker,Business Products & Services,Management and Financial Consulting,Paraguay,Asuncion,Certified,https://bcorporation.net/directory/koga-sa
WonderWorks Consulting,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/wonderworks-consulting
Yulu Public Relations Inc.,2019,Changemaker,Business Products & Services,Marketing & Communications Services,Canada,British Columbia,Certified,https://bcorporation.net/directory/yulu-public-relations-inc
Broota SPA,2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/broota-spa
"WasteZero, Inc.",2019,Changemaker,Business Products & Services,Industrial Manufacturing,United States,North Carolina,Certified,https://bcorporation.net/directory/wastezero-inc
Shared Value Solutions,2019,Changemaker,Business Products & Services,Sustainability Consulting,Canada,Ontario,Certified,https://bcorporation.net/directory/shared-value-solutions
MaCher USA,2019,Changemaker,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/macher-usa
Pyramid Communications,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Washington,Certified,https://bcorporation.net/directory/pyramid-communications
"ThinkShout, Inc",2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,Oregon,Certified,https://bcorporation.net/directory/thinkshout-inc
Wicked Ideas,2019,Changemaker,Business Products & Services,Marketing & Communications Services,Canada,New Brunswick,Certified,https://bcorporation.net/directory/wicked-ideas-media-inc
Symplicity Designs Inc,2019,Changemaker,Business Products & Services,Management and Financial Consulting,Canada,New Brunswick,Certified,https://bcorporation.net/directory/symplicity-designs-inc
Pixel Parlor,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Pennsylvania,Certified,https://bcorporation.net/directory/pixel-parlor
Impact Hub Oakland,2019,Changemaker,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/impact-hub-oakland
Almaciguera Consultora,2019,Changemaker,Business Products & Services,Sustainability Consulting,Chile,Puerto Varas,Certified,https://bcorporation.net/directory/almaciguera-consultora
Vistage S.A. Argentina,2019,Changemaker,Business Products & Services,Management and Financial Consulting,Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/vistage-sa-argentina
"Seed Systems, Inc",2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,Massachusetts,Certified,https://bcorporation.net/directory/seed-systems-inc
Impact Partner GmbH,2019,Changemaker,Business Products & Services,IT Software & Services/Web Design,Germany,Berlin,Certified,https://bcorporation.net/directory/impact-partner-gmbh
Angel Oak Creative,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,North Carolina,Certified,https://bcorporation.net/directory/angel-oak-creative-llc
Twelve Winds Consulting,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United Kingdom,London,Certified,https://bcorporation.net/directory/twelve-winds-consulting
Decah,2019,Changemaker,Business Products & Services,Management and Financial Consulting,Brazil,Rio de Janeiro,Certified,https://bcorporation.net/directory/carioteca
"Prichard Communications, Inc.",2019,Changemaker,Business Products & Services,Marketing & Communications Services,United States,Oregon,Certified,https://bcorporation.net/directory/prichard-communications-inc
New Citizenship Project,2019,Changemaker,Business Products & Services,Marketing & Communications Services,United Kingdom,London,Certified,https://bcorporation.net/directory/new-citizenship-project
Q&A,2019,Changemaker,Business Products & Services,Management and Financial Consulting,United States,Virginia,Certified,https://bcorporation.net/directory/qa
Raisely,2019,Changemaker,Business Products & Services,Marketing & Communications Services,Australia,New South Wales,Certified,https://bcorporation.net/directory/agency
"BIKOnsulting, S. Coop.",2019,Changemaker,Business Products & Services,Management and Financial Consulting,Spain,Alava,Certified,https://bcorporation.net/directory/bikonsulting-s-coop
Cause4,2019,Changemaker,Business Products & Services,Nonprofit Consulting & Fundraising,United Kingdom,London,Certified,https://bcorporation.net/directory/cause4
Black Fox Philanthropy LLC,2019,Changemaker,Business Products & Services,Nonprofit Consulting & Fundraising,United States,Colorado,Certified,https://bcorporation.net/directory/black-fox-philanthropy-llc
One World Play Project,2019,Changemaker,Consumer Products & Services,"Sports Equipment, Toys & Accessories",United States,California,Certified,https://bcorporation.net/directory/one-world-play-project
Lotus Foods,2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/lotus-foods
Left Coast Naturals,2019,Changemaker,Consumer Products & Services,Food & Beverage,Canada,British Columbia,Certified,https://bcorporation.net/directory/left-coast-naturals
Green Libros,2019,Changemaker,Consumer Products & Services,Books & Media,Chile,Santiago,Certified,https://bcorporation.net/directory/green-libros
Beautycounter,2019,Changemaker,Consumer Products & Services,Home & Personal Care,United States,California,Certified,https://bcorporation.net/directory/beautycounter
"Eco Lips, Inc.",2019,Changemaker,Consumer Products & Services,Home & Personal Care,United States,Iowa,Certified,https://bcorporation.net/directory/eco-lips-inc
New Society Publishers,2019,Changemaker,Consumer Products & Services,Books & Media,Canada,British Columbia,Certified,https://bcorporation.net/directory/new-society-publishers
Cambridge Naturals,2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,Massachusetts,Certified,https://bcorporation.net/directory/cambridge-naturals
CRIDEM,2019,Changemaker,Consumer Products & Services,"Apparel, Footwear & Accessories",Chile,Santiago,Certified,https://bcorporation.net/directory/cridem
Natura Cosm�ticos SA,2019,Changemaker,Consumer Products & Services,Home & Personal Care,Brazil,S�o Paulo,Certified,https://bcorporation.net/directory/natura-cosmeticos-sa
"New Chapter, Inc",2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,Vermont,Certified,https://bcorporation.net/directory/new-chapter-inc
Macphie Ltd,2019,Changemaker,Consumer Products & Services,Food & Beverage,United Kingdom,Aberdeenshire,Certified,https://bcorporation.net/directory/macphie-ltd
Elephants Delicatessen,2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/elephants-delicatessen
African Bronze Honey Company Limited,2019,Changemaker,Consumer Products & Services,Food & Beverage,Canada,Ontario,Certified,https://bcorporation.net/directory/african-bronze-honey-company-inc
Buinzoo s.a.,2019,Changemaker,Consumer Products & Services,Fine Arts,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/buinzoo-sa
MIO,2019,Changemaker,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",United States,Pennsylvania,Certified,https://bcorporation.net/directory/mio
Honest to Goodness,2019,Changemaker,Consumer Products & Services,Food & Beverage,Australia,New South Wales,Certified,https://bcorporation.net/directory/honest-to-goodness
SnappCar,2019,Changemaker,Consumer Products & Services,Other,Netherlands,Utrecht,Certified,https://bcorporation.net/directory/snappcar
Fetzer Vineyards,2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/fetzer-vineyards
"Garden of Life, LLC",2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,Florida,Certified,https://bcorporation.net/directory/garden-of-life-llc
Ella's Kitchen UK,2019,Changemaker,Consumer Products & Services,Food & Beverage,United Kingdom,Oxfordshire,Certified,https://bcorporation.net/directory/ellas-kitchen-uk
GloryBee,2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/glorybee
Thanksgiving Coffee Co.,2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/thanksgiving-coffee-co
Fiasco Gelato,2019,Changemaker,Consumer Products & Services,Food & Beverage,Canada,Alberta,Certified,https://bcorporation.net/directory/fiasco-gelato
"Eileen Fisher, Inc.",2019,Changemaker,Consumer Products & Services,"Apparel, Footwear & Accessories",United States,New York,Certified,https://bcorporation.net/directory/eileen-fisher-inc
Barebones Living,2019,Changemaker,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",United States,Utah,Certified,https://bcorporation.net/directory/barebones-living
"Ripple Foods, PBC",2019,Changemaker,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/ripple-foods-pbc
Veritas,2019,Changemaker,Consumer Products & Services,Food & Beverage,Spain,Catalonia,Certified,https://bcorporation.net/directory/veritas
Emprediem,2019,Changemaker,Education & Training Services,Education & Training Services,Chile,Santiago,Certified,https://bcorporation.net/directory/emprediem
The TYF Group,2019,Changemaker,Education & Training Services,Education & Training Services,United Kingdom,Pembrokeshire,Certified,https://bcorporation.net/directory/the-tyf-group
"Optimize Enterprises, PBC",2019,Changemaker,Education & Training Services,Education & Training Services,United States,California,Certified,https://bcorporation.net/directory/optimize-enterprises-pbc
Geekie,2019,Changemaker,Education & Training Services,Education & Training Services,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/geekie
Beyond English,2019,Changemaker,Education & Training Services,Education & Training Services,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/beyond-english
Turningpoint Leadership,2019,Changemaker,Education & Training Services,Education & Training Services,France,Ile-de-France,Certified,https://bcorporation.net/directory/turningpoint-leadership
Summerhill,2019,Changemaker,Energy & Environmental Services,Other,Canada,Ontario,Certified,https://bcorporation.net/directory/summerhill
Reciclarg S.A.,2019,Changemaker,Energy & Environmental Services,Recycling Services & Waste Management,Argentina,Mendoza,Certified,https://bcorporation.net/directory/reciclarg-sa
MPOWERD Inc,2019,Changemaker,Energy & Environmental Services,Renewable Energy Generation & Installation,United States,New York,Certified,https://bcorporation.net/directory/mpowerd-inc
The Redwoods Group,2019,Changemaker,Financial Services,Insurance,United States,North Carolina,Certified,https://bcorporation.net/directory/the-redwoods-group
Wealth Enhancers,2019,Changemaker,Financial Services,Investment Advisor,Australia,Victoria,Certified,https://bcorporation.net/directory/wealth-enhancers
Amalgamated Bank,2019,Changemaker,Financial Services,Credit Provider,United States,New York,Certified,https://bcorporation.net/directory/amalgamated-bank
This is L. Inc.,2019,Changemaker,Health & Human Services,Other,United States,California,Certified,https://bcorporation.net/directory/l-inc
Fit 4 Dance,2019,Changemaker,Health & Human Services,Fitness & Wellness Centers,United States,New York,Certified,https://bcorporation.net/directory/fit-4-dance
The Cleaver Co.,2019,Changemaker,"Restaurant, Hospitality & Travel",Restaurant,United States,New York,Certified,https://bcorporation.net/directory/the-cleaver-co
Harvest Market,2019,Changemaker,Retail,Storefront,United States,California,Certified,https://bcorporation.net/directory/harvest-market
Pukka Herbs,2019,Changemaker,Retail,Storefront,United Kingdom,Bristol,Certified,https://bcorporation.net/directory/pukka-herbs
B-Line Urban Delivery,2019,Changemaker,Transportation & Logistics,Transportation & Logistics,United States,Oregon,Certified,https://bcorporation.net/directory/b-line-urban-delivery
"Wendel, Rosen, Black & Dean LLP",2019,Changemaker,Legal Services,Legal,United States,California,Certified,https://bcorporation.net/directory/wendel-rosen-black-dean-llp
"Immix Law Group, PC",2019,Changemaker,Legal Services,Legal,United States,Oregon,Certified,https://bcorporation.net/directory/immix-law-group-pc
Firespring,2019,Community; Governance; Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,Nebraska,Certified,https://bcorporation.net/directory/firespring
Griswold and Griswold Insurance Agency,2019,Community; Governance; Changemaker,Financial Services,Insurance,United States,California,Certified,https://bcorporation.net/directory/griswold-and-griswold-insurance-agency
Wetherby Asset Management,2019,Customers; Workers; Governance; Changemaker,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/wetherby-asset-management
AVANT Group LLC,2019,Customers; Governance; Changemaker,Business Products & Services,HR Consulting & Recruiting,United States,North Carolina,Certified,https://bcorporation.net/directory/avant-group-llc
Kinvolved,2019,Customers; Governance; Changemaker,Education & Training Services,Education & Training Services,United States,New York,Certified,https://bcorporation.net/directory/kinvolved
Grupo Educativo,2019,Customers; Governance; Changemaker,Education & Training Services,Education & Training Services,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/grupo-educativo
"Breckinridge Capital Advisors, Inc.",2019,Customers; Governance; Changemaker,Financial Services,Investment Advisor,United States,Massachusetts,Certified,https://bcorporation.net/directory/breckinridge-capital-advisors-inc
Caprock,2019,Customers; Workers; Changemaker,Financial Services,Investment Advisor,United States,Idaho,Certified,https://bcorporation.net/directory/the-caprock-group
REthink Development,2019,Environment; Governance; Changemakers,Building,Real Estate Development,United States,California,Inactive,https://bcorporation.net/directory/rethink-development
New Leaf Paper,2019,Environment; Governance; Changemaker,Business Products & Services,Office Products & Printing,United States,California,Certified,https://bcorporation.net/directory/new-leaf-paper
Myplanet,2019,Workers; Governance; Changemaker,Business Products & Services,Research & Design,Canada,Ontario,Certified,https://bcorporation.net/directory/myplanet
Barrett and Welsh,2019,Workers; Governance; Changemaker,Business Products & Services,Marketing & Communications Services,Canada,ON,Certified,https://bcorporation.net/directory/barrett-and-welsh-inc
Enrollment Resources Inc.,2019,Workers; Governance; Changemaker,Education & Training Services,Education & Training Services,Canada,British Columbia,Certified,https://bcorporation.net/directory/enrollment-resources-inc
armstrong y asociados,2019,Community; Changemaker,Business Products & Services,Marketing & Communications Services,Chile,Santiago,Certified,https://bcorporation.net/directory/armstrong-y-asociados
Daproim Africa Limited,2019,Community; Changemaker,Business Products & Services,IT Software & Services/Web Design,Kenya,Nairobi,Certified,https://bcorporation.net/directory/daproim-africa-limited
Hilary's Eat Well,2019,Community; Changemaker,Consumer Products & Services,Food & Beverage,United States,Kansas,Certified,https://bcorporation.net/directory/hilarys-eat-well
Animana,2019,Community; Changemaker,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",Argentina,Buenos Aires,Certified,https://bcorporation.net/directory/animana
Meliora Cleaning Products,2019,Community; Changemaker,Consumer Products & Services,Home & Personal Care,United States,Illinois,Certified,https://bcorporation.net/directory/meliora-cleaning-products
Winderlea Vineyard and Winery,2019,Community; Changemaker,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/winderlea-vineyard-and-winery
Who Gives A Crap,2019,Community; Changemaker,Consumer Products & Services,Home & Personal Care,Australia,Victoria,Certified,https://bcorporation.net/directory/who-gives-a-crap
Leesa Sleep,2019,Community; Changemaker,Consumer Products & Services,"Housewares, Home Furnishings, & Accessories",United States,Virginia,Certified,https://bcorporation.net/directory/leesa-sleep
Funeraria del Hogar de Cristo,2019,Community; Changemaker,Consumer Products & Services,Other,Chile,Santiago,Certified,https://bcorporation.net/directory/funeraria-del-hogar-de-cristo
Antica Erboristeria SpA SB,2019,Community; Changemaker,Consumer Products & Services,Home & Personal Care,Italy,Roma,Certified,https://bcorporation.net/directory/antica-erboristeria-spa
Gexsi,2019,Community; Changemaker,Financial Services,Other,Germany,Berlin,Certified,https://bcorporation.net/directory/gexsi
Global Gaming Initiative,2019,Community; Changemaker,Media,Other,United States,Minnesota,Certified,https://bcorporation.net/directory/global-gaming-initiative
Neighbourhood Group of Companies,2019,Community; Changemaker,"Restaurant, Hospitality & Travel",Restaurant,Canada,Ontario,Certified,https://bcorporation.net/directory/neighbourhood-group-of-companies
UncommonGoods,2019,Community; Changemaker,Retail,Online Marketplace,United States,New York,Certified,https://bcorporation.net/directory/uncommongoods
Kotmo,2019,Community; Changemaker,Retail,Storefront,Canada,Qu�bec,Certified,https://bcorporation.net/directory/kotmo
Estudios y Consultor�as Focus,2019,Customers; Changemaker,Business Products & Services,Other,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/estudios-y-consultor�as-focus
Roots for Sustainability (R4S),2019,Customers; Changemaker,Business Products & Services,Sustainability Consulting,Spain,Catalonia,Certified,https://bcorporation.net/directory/roots-sustainability-r4s
Baluarte Cultura,2019,Customers; Changemaker,Business Products & Services,Other,Brazil,RJ,Certified,https://bcorporation.net/directory/baluarte-cultura
Springboard Education in America LLC,2019,Customers; Changemaker,Education & Training Services,Education & Training Services,United States,Massachusetts,Certified,https://bcorporation.net/directory/springboard-education-in-america-llc
Unreasonable Group,2019,Customers; Changemaker,Education & Training Services,Education & Training Services,United States,Colorado,Certified,https://bcorporation.net/directory/unreasonable-group
Vox Capital,2019,Customers; Changemaker,Financial Services,Equity Investor - Emerging Markets,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/vox-capital
Core Capital Management,2019,Customers; Changemaker,Financial Services,Investment Advisor,United States,California,Certified,https://bcorporation.net/directory/core-capital-management
LUMNI CHILE,2019,Customers; Changemaker,Financial Services,Other,Chile,Santiago,Certified,https://bcorporation.net/directory/lumni-chile
Zevin Asset Management,2019,Customers; Changemaker,Financial Services,Investment Advisor,United States,Massachusetts,Certified,https://bcorporation.net/directory/zevin-asset-management
"Dev Equity, LLC",2019,Customers; Changemaker,Financial Services,Equity Investor - Emerging Markets,United States,Arizona,Certified,https://bcorporation.net/directory/dev-equity-llc
Pekin Hardy Strauss Wealth Management,2019,Customers; Changemaker,Financial Services,Investment Advisor,United States,Illinois,Certified,https://bcorporation.net/directory/appleseed-capital
Earth Equity Advisors,2019,Customers; Changemaker,Financial Services,Investment Advisor,United States,North Carolina,Certified,https://bcorporation.net/directory/earth-equity-advisors
Community Sector Banking,2019,Customers; Changemaker,Financial Services,Credit Provider,Australia,Victoria,Certified,https://bcorporation.net/directory/community-sector-banking
Dolium Bodega Subterranea,2019,Environment; Changemaker,Agriculture,Agricultural Services,Argentina,Mendoza,Certified,https://bcorporation.net/directory/dolium-bodega-subterranea
Vi�a Polkura SA,2019,Environment; Changemaker,Agriculture,Agricultural Services,Chile,Cardenal Caro,Certified,https://bcorporation.net/directory/vi�a-polkura-sa
SES Consulting,2019,Environment; Changemaker,Building,Architecture/Design/Planning,Canada,British Columbia,Certified,https://bcorporation.net/directory/ses-consulting
D-Orbit,2019,Environment; Changemaker,Business Products & Services,Machinery & Equipment,Italy,Como,Certified,https://bcorporation.net/directory/d-orbit
Babo Botanicals,2019,Environment; Changemaker,Consumer Products & Services,Home & Personal Care,United States,New York,Certified,https://bcorporation.net/directory/babo-botanicals
Sokol Blosser Winery,2019,Environment; Changemaker,Consumer Products & Services,Food & Beverage,United States,Oregon,Certified,https://bcorporation.net/directory/sokol-blosser-winery
PRANA,2019,Environment; Changemaker,Consumer Products & Services,Food & Beverage,Canada,Qu�bec,Certified,https://bcorporation.net/directory/prana-biovegan-inc
GreenSpark Energy,2019,Environment; Changemaker,Energy & Environmental Services,Renewable Energy Generation & Installation,United States,New York,Certified,https://bcorporation.net/directory/greenspark-energy
Arctic Solar Ventures Corporation,2019,Environment; Changemaker,Energy & Environmental Services,Renewable Energy Generation & Installation,United States,Alaska,Certified,https://bcorporation.net/directory/arctic-solar-ventures-corporation
Healthy Building Science,2019,Governance; Changemaker,Building,Other,United States,California,Certified,https://bcorporation.net/directory/healthy-building-science
Gelfand Partners Architects,2019,Governance; Changemaker,Building,Architecture/Design/Planning,United States,California,Certified,https://bcorporation.net/directory/gelfand-partners-architects
Recyclebank,2019,Governance; Changemaker,Business Products & Services,Research & Design,United States,New York,Inactive,https://bcorporation.net/directory/recyclebank
SVT Group,2019,Governance; Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/svt-group
"Mightybytes, Inc.",2019,Governance; Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,Illinois,Certified,https://bcorporation.net/directory/mightybytes-inc
DOJO4,2019,Governance; Changemaker,Business Products & Services,IT Software & Services/Web Design,United States,Colorado,Certified,https://bcorporation.net/directory/dojo4
SecondMuse,2019,Governance; Changemaker,Business Products & Services,Management and Financial Consulting,United States,New Mexico,Certified,https://bcorporation.net/directory/secondmuse
Yin Yang Naturals,2019,Governance; Changemaker,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/yin-yang-naturals
LimeRed,2019,Governance; Changemaker,Business Products & Services,Research & Design,United States,Illinois,Certified,https://bcorporation.net/directory/limered-studio
REMBRE,2019,Governance; Changemaker,Business Products & Services,Sustainability Consulting,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/rembre
Boly:Welch,2019,Governance; Changemaker,Business Products & Services,Management and Financial Consulting,United States,Oregon,Certified,https://bcorporation.net/directory/bolywelch
Westwood International,2019,Governance; Changemaker,Business Products & Services,Management and Financial Consulting,United States,Vermont,Certified,https://bcorporation.net/directory/westwood-international
Sierra Leadership LLC,2019,Governance; Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/sierra-leadership-llc
"Evox OmniMedia, PBC",2019,Governance; Changemaker,Consumer Products & Services,Home & Personal Care,United States,California,Inactive,https://bcorporation.net/directory/evox-television
Senda Athletics,2019,Governance; Changemaker,Consumer Products & Services,"Sports Equipment, Toys & Accessories",United States,California,Certified,https://bcorporation.net/directory/senda-athletics
P.L.A.Y. Pet Lifestyle and You Inc.,2019,Governance; Changemaker,Consumer Products & Services,Pet Products,United States,California,Certified,https://bcorporation.net/directory/play-pet-lifestyle-and-you-inc
Cage Free Productions,2019,Governance; Changemaker,Media,Film & Music Production,United States,California,Certified,https://bcorporation.net/directory/cage-free-productions
Major League Hacking (MLH),2019,Governance; Changemaker,Media,Other,United States,New York,Certified,https://bcorporation.net/directory/major-league-hacking-mlh
greenApes,2019,Governance; Changemaker,Media,Online Community,Italy,Firenze,Certified,https://bcorporation.net/directory/greenapes
Crystal Creek Logistics,2019,Governance; Changemaker,Transportation & Logistics,Transportation & Logistics,United States,Washington,Certified,https://bcorporation.net/directory/crystal-creek-logistics
"Blue Dot Advocates, PBC",2019,Governance; Changemaker,Legal Services,Legal,United States,Colorado,Certified,https://bcorporation.net/directory/blue-dot-advocates-pbc
Republik,2019,Workers; Changemaker,Business Products & Services,Marketing & Communications Services,Canada,Qu�bec,Certified,https://bcorporation.net/directory/republik
Currie Communications,2019,Workers; Changemaker,Business Products & Services,Sustainability Consulting,Australia,Victoria,Certified,https://bcorporation.net/directory/currie-communications
Flow Office Wisdom,2019,Workers; Changemaker,Business Products & Services,Other,Canada,Ontario,Certified,https://bcorporation.net/directory/flow-office-wisdom
PixelSpoke,2019,Workers; Changemaker,Business Products & Services,Marketing & Communications Services,United States,Oregon,Certified,https://bcorporation.net/directory/pixelspoke
BIRDEO,2019,Workers; Changemaker,Business Products & Services,HR Consulting & Recruiting,France,Ile-de-France,Certified,https://bcorporation.net/directory/birdeo
Leap,2019,Workers; Changemaker,Business Products & Services,Marketing & Communications Services,United Kingdom,Cornwall,Certified,https://bcorporation.net/directory/leap
Synergy Enterprises,2019,Workers; Changemaker,Business Products & Services,Sustainability Consulting,Canada,British Columbia,Certified,https://bcorporation.net/directory/synergy-enterprises
Future State,2019,Workers; Changemaker,Business Products & Services,Management and Financial Consulting,United States,California,Certified,https://bcorporation.net/directory/future-state
Baxendale,2019,Workers; Changemaker,Business Products & Services,Nonprofit Consulting & Fundraising,United Kingdom,London,Certified,https://bcorporation.net/directory/baxendale
"Beau's All Natural Brewing Company, Ltd.",2019,Workers; Changemaker,Consumer Products & Services,Food & Beverage,Canada,Ontario,Certified,https://bcorporation.net/directory/beaus-all-natural-brewing-company-ltd
N�cleo Ambiental S.A.S.,2019,Workers; Changemaker,Energy & Environmental Services,Other,Colombia,Bogota,Certified,https://bcorporation.net/directory/n�cleo-ambiental-sas
Greentech Capital Advisors,2019,Workers; Changemaker,Financial Services,Other,United States,New York,Certified,https://bcorporation.net/directory/greentech-capital-advisors
G2 Insurance Services,2019,Workers; Changemaker,Financial Services,Insurance,United States,California,Certified,https://bcorporation.net/directory/g2-insurance-services
First Respond ????�,2019,Workers; Changemaker,Health & Human Services,Healthcare Consulting,China,Shanghai,Certified,https://bcorporation.net/directory/first-respond
Gardener's Supply Company,2019,Workers; Changemaker,Retail,Online Marketplace,United States,Vermont,Certified,https://bcorporation.net/directory/gardeners-supply-company
Moyee Coffee,2019,Community,Agriculture,Agricultural Services,Netherlands,Amsterdam,Certified,https://bcorporation.net/directory/moyee-coffee
C and L LLC dba Conscious Coffees,2019,Community,Agriculture,Agricultural Services,United States,Colorado,Certified,https://bcorporation.net/directory/c-and-l-llc-dba-conscious-coffees
Fair Game Beverage Company,2019,Community,Agriculture,Growers,United States,North Carolina,Certified,https://bcorporation.net/directory/fair-game-beverage-company
Coffee By Design,2019,Community,Agriculture,Agricultural Services,United States,Maine,Certified,https://bcorporation.net/directory/coffee-design
Asher International eco-Health Enterprises Inc.,2019,Community,Agriculture,Agricultural Services,Taiwan,Situn District,Certified,https://bcorporation.net/directory/asher-international-eco-health-enterprises-inc
"Jasberry Co., Ltd.",2019,Community,Agriculture,Agricultural Services,Thailand,Bangkok,Certified,https://bcorporation.net/directory/jasberry-co-ltd
Grameen Danone Foods Ltd,2019,Community,Agriculture,Agricultural Services,Bangladesh,Dhaka,Certified,https://bcorporation.net/directory/grameen-danone-foods-ltd
Vava Coffee Ltd.,2019,Community,Agriculture,Agricultural Services,Kenya,Nairobi,Certified,https://bcorporation.net/directory/vava-coffee-ltd
TruTrade Africa,2019,Community,Agriculture,Agricultural Services,Kenya,Nairobi,Certified,https://bcorporation.net/directory/tru-trade-africa
Living Room Realty,2019,Community,Building,Real Estate Development,United States,Oregon,Certified,https://bcorporation.net/directory/living-room-realty
Constructora L y D,2019,Community,Building,Contractors & Builders,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/constructora-l-y-d
"Zip Code East Bay, Inc.",2019,Community,Building,Other,United States,California,Certified,https://bcorporation.net/directory/zip-code-east-bay-inc
Marmalade Fish,2019,Community,Business Products & Services,Management and Financial Consulting,United Arab Emirates,Dubai,Inactive,https://bcorporation.net/directory/marmalade-fish
Mills Office Productivity,2019,Community,Business Products & Services,Office Products & Printing,Canada,British Columbia,Certified,https://bcorporation.net/directory/mills-office-productivity
Ecosia GmbH,2019,Community,Business Products & Services,IT Software & Services/Web Design,Germany,Berlin,Certified,https://bcorporation.net/directory/ecosia-gmbh
Simply Straws,2019,Community,Business Products & Services,Other,United States,California,Certified,https://bcorporation.net/directory/simply-straws
TARGET-DDI,2019,Community,Business Products & Services,HR Consulting & Recruiting,Chile,Region Metropolitana,Certified,https://bcorporation.net/directory/target-ddi
"Image Outfitters, Inc.",2019,Community,Business Products & Services,Other,United States,Vermont,Certified,https://bcorporation.net/directory/image-outfitters-inc
