company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
Oliver Russell & Associates,2016,Workers,Business Products & Services,Marketing & Communications Services,United States,Idaho,Certified,https://bcorporation.net/directory/oliver-russell-associates
Volans,2016,Workers,Business Products & Services,Management and Financial Consulting,United Kingdom,London,Certified,https://bcorporation.net/directory/volans
Forster Communications,2016,Overall; Workers,Business Products & Services,Marketing & Communications Services,United Kingdom,London,Certified,https://bcorporation.net/directory/forster-communications
PIXELIS,2016,Workers,Business Products & Services,Marketing & Communications Services,France,Ile-de-France,Certified,https://bcorporation.net/directory/pixelis
King Arthur Flour Company,2016,Workers,Consumer Products & Services,Food & Beverage,United States,Vermont,Certified,https://bcorporation.net/directory/king-arthur-flour-company
"MRW Connected, Inc.",2016,Workers,Consumer Products & Services,Home & Personal Care,United States,Massachusetts,Certified,https://bcorporation.net/directory/mrw-connected-inc
UpSpring,2016,Overall; Customers,Business Products & Services,Management and Financial Consulting,United States,New Mexico,Certified,https://bcorporation.net/directory/upspring
Vista Caballo,2016,Environment,Business Products & Services,Management and Financial Consulting,United States,Colorado,Certified,https://bcorporation.net/directory/vista-caballo
Traditional Medicinals,2016,Overall,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/traditional-medicinals
Salt Spring Coffee,2016,Environment,Consumer Products & Services,Food & Beverage,Canada,British Columbia,Certified,https://bcorporation.net/directory/salt-spring-coffee
Lunapads,2016,Environment,Consumer Products & Services,Home & Personal Care,Canada,British Columbia,Certified,https://bcorporation.net/directory/lunapads
Textbooks for Change,2016,Community,Consumer Products & Services,Books & Media,Canada,Ontario,Certified,https://bcorporation.net/directory/textbooks-change
ECO2LIBRIUM,2016,Overall; Customers; Environment,Business Products & Services,Other,Kenya,Kakamega,Certified,https://bcorporation.net/directory/eco2librium
Beneficial State Bank,2016,Overall; Community; Customers,Financial Services,Credit Provider,United States,California,Certified,https://bcorporation.net/directory/beneficial-state-bank
